month,res_county,cases
May,RIVERSIDE,1803
May,SACRAMENTO,2989
May,SAN BENITO,46
May,SAN BERNARDINO,1644
May,SAN DIEGO,3251
May,SAN FRANCISCO,512
May,SAN JOAQUIN,1356
May,SAN LUIS OBISPO,292
May,SAN MATEO,486
May,SANTA BARBARA,267
May,SANTA CLARA,1134
May,SANTA CRUZ,127
May,SHASTA,634
May,SISKIYOU,223
May,SMALL COUNTY,269
May,SOLANO,805
May,SONOMA,555
May,STANISLAUS,1415
May,SUTTER,165
May,TEHAMA,146
May,TULARE,674
May,TUOLUMNE,71
May,VENTURA,640
May,YOLO,280
May,YUBA,188
